Route Path,Component
/memories/chain/:id,MemoryChainDetailPage
/memories/chains,MemoryChainsListPage
/memories/chains/:id,MemoryChainViewerPage
/memories/chains/create,MemoryChainBuilderPage
/memories/new,MemoryEntryCreatePage
/memories/reflect,MemoryReflectionPage
/memory/:id/echo,MemoryEchoPage
/memory/predict,MemoryPredictionPage
/memory/sandbox/:assistantId,MemorySandboxPage
/memory/synthesize,SymbolicMemorySynthesizerPage
/mythgraph/:id,MythgraphViewerPage
/onboarding,UserMythpathInitializerPage
/onboarding/archetype,ArchetypeSelectionChamberPage
/onboarding/ritual,RitualOnboardingPage
/onboarding/summon,SummoningRitualConsolePage
/onboarding/wizard,OnboardingWizardPage
/onboarding/world,MythOnboardingWorldPage
/orchestration/timeline,OrchestrationTimelinePage
/plan/assign,TaskAssignmentPage
/plan/chains,ExecutionChainPage
/plan/graph,PlanningGraphPage
/plan/skills/:id,SkillPlannerPage
/planning,PlanningPage
/profile,ProfilePage
/project/composer,MythOSProjectComposerPage
/prompts,PromptsPage
/prompts/:slug,PromptDetailView
/prompts/:slug/edit,EditPromptPage
/prompts/:slug/remix,PromptRemixPage
/prompts/assistant,PromptCreationAssistant
/prompts/capsules,PromptCapsuleManagerPage
/prompts/create,CreatePromptPage
/prophecy/engine,ProphecyEnginePage
/recent-reflections,RecentReflectionsPage
/reflect,ReflectionPage
/reflection,ReflectionPage
/reflection-tags,ReflectionTagsPage
/reflection-tags/:tag,ReflectionTagsPage
/reflection/logs,TemporalReflectionLogsPage
/reflections,ReflectionHistoryPage
/reflections/:id,ReflectionDetailPage
/reflections/custom,CustomReflectionPage
/register,RegisterPage
/relay/chains/:id,RelayChainViewerPage
/replay/engine,ReplayEnginePage
/ritual,MythOSRitualsPage
/ritual/composer,RitualComposerPage
/ritual/containers,RitualContainersPage
/ritual/forecast,RitualForecastPage
/ritual/fork/replay,RitualForkReplayPage
/ritual/grants,RitualGrantPage
/ritual/rewards,RitualRewardsPage
/ritual/rewire,RitualRewirePage
/simulate/narrative,NarrativeMutationSimulatorPage
/stories,StoryListPage
/storyboard,StoryboardEditorPage
/storyboard/events/:id,NarrativeEventDetailPage
/summon/federated,FederatedSummonPage
/swarm/collisions,RoleCollisionPage
/swarm/graph,SwarmGraphPage
/swarm/rewire,SwarmAgentRewirePage
/swarm/timeline,SwarmTimelinePage
/system/stability,SystemStabilityPage
/threads,ThreadsOverviewPage
/threads/:id,ThreadDetailPage
/threads/editor,ThreadEditorPage
/threads/overview,ThreadsOverviewPage
/timeline,WorldTimelinePage
/timeline/explore,MythpathExplorerPage
/timeline/memory,MemoryTimelinePage
/treaty/forge,TreatyForgePage
/ui/motion,MotionTestPage
/assistants/:slug/glossary,GlossaryConvergencePage
